AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
950.0,858.0,3614.0,41.0,2002.0,-181.0
254.0,782.0,3634.0,2.0,2679.0,-127.0
-223.0,803.0,3379.0,-111.0,6813.0,188.0
-570.0,954.0,3212.0,64.0,8446.0,188.0
-657.0,1095.0,2689.0,320.0,9964.0,248.0
-1249.0,1404.0,1448.0,691.0,11311.0,410.0
-1329.0,1385.0,1061.0,1115.0,12177.0,470.0
-1335.0,1496.0,633.0,1401.0,12788.0,479.0
-1437.0,1403.0,331.0,1540.0,13434.0,511.0
-1422.0,1196.0,-204.0,1675.0,13821.0,446.0
-1639.0,1120.0,-603.0,1687.0,14374.0,430.0
-2329.0,1064.0,-837.0,1693.0,15022.0,485.0
-3200.0,960.0,-1032.0,1834.0,15546.0,521.0
-4001.0,1044.0,-1415.0,1858.0,16176.0,589.0
-4481.0,1245.0,-2063.0,1924.0,16969.0,654.0
-4904.0,1463.0,-2659.0,2037.0,17786.0,638.0
-5562.0,1635.0,-2589.0,2211.0,18325.0,481.0
-6020.0,1633.0,-1678.0,2337.0,18324.0,268.0
-5658.0,1457.0,-1449.0,2565.0,17745.0,184.0
-5096.0,1445.0,-1698.0,2791.0,16541.0,211.0
-4587.0,1461.0,-2021.0,2540.0,10164.0,-125.0
-4519.0,1431.0,-2139.0,2220.0,7602.0,-453.0
-4636.0,1483.0,-2093.0,1998.0,5107.0,-395.0
-4382.0,1551.0,-1600.0,1645.0,3458.0,-184.0
-4364.0,1545.0,-1520.0,1226.0,2502.0,-148.0
-4417.0,1650.0,-1524.0,860.0,1842.0,-306.0
-4427.0,1732.0,-1297.0,557.0,1123.0,-412.0
-4209.0,1707.0,-1204.0,237.0,322.0,-319.0
-4241.0,1651.0,-1179.0,-84.0,-239.0,-184.0
-4319.0,1673.0,-1158.0,-311.0,-528.0,-125.0
-4492.0,1633.0,-1088.0,-409.0,-766.0,-66.0
-4553.0,1577.0,-929.0,-473.0,-1057.0,-16.0
-4336.0,1488.0,-886.0,-556.0,-1338.0,53.0
-4250.0,1410.0,-1034.0,-619.0,-1425.0,107.0
-4460.0,1371.0,-1092.0,-602.0,-1485.0,68.0
-4859.0,1353.0,-1119.0,-620.0,-1617.0,65.0
-5239.0,1331.0,-1005.0,-679.0,-1900.0,49.0
-5544.0,1236.0,-963.0,-799.0,-2297.0,88.0
-5657.0,1170.0,-1091.0,-1054.0,-3434.0,153.0
-5748.0,1126.0,-1113.0,-1182.0,-4374.0,39.0
-5506.0,1065.0,-1191.0,-1443.0,-5813.0,-72.0
-5186.0,925.0,-1642.0,-1776.0,-7701.0,-214.0
-4904.0,805.0,-1533.0,-2092.0,-9942.0,-387.0
-4298.0,790.0,-1715.0,-2403.0,-12185.0,-468.0
-3478.0,952.0,-2134.0,-2552.0,-14323.0,-451.0
-2372.0,1380.0,-2474.0,-2512.0,-16585.0,-508.0
-761.0,1766.0,-2322.0,-2542.0,-18672.0,-555.0
1556.0,1854.0,-1594.0,-2581.0,-20870.0,-517.0
3735.0,1667.0,710.0,-2261.0,-23701.0,-462.0
5709.0,1437.0,2892.0,-1637.0,-26816.0,-162.0
7571.0,1460.0,3326.0,-907.0,-29308.0,479.0
8092.0,647.0,3011.0,-470.0,-30320.0,1361.0
5833.0,-330.0,2019.0,-713.0,-29323.0,1997.0
2319.0,-100.0,1567.0,-1581.0,-26779.0,1924.0
-820.0,111.0,2353.0,-2283.0,-23452.0,1688.0
-3763.0,572.0,4340.0,-2218.0,-16876.0,1408.0
-2634.0,785.0,4948.0,-2248.0,3749.0,429.0
-215.0,752.0,4528.0,-905.0,3602.0,737.0
1934.0,612.0,3861.0,-360.0,1933.0,1264.0
2413.0,811.0,4049.0,-210.0,1387.0,1431.0
1404.0,971.0,4026.0,-685.0,-1567.0,1122.0
677.0,919.0,4034.0,-1369.0,-4630.0,582.0
456.0,771.0,4040.0,-1785.0,-3702.0,384.0
530.0,723.0,4044.0,-1377.0,-2089.0,329.0
762.0,804.0,3942.0,-428.0,-546.0,263.0
1079.0,865.0,3803.0,93.0,804.0,151.0
1220.0,875.0,3795.0,29.0,1352.0,28.0
1311.0,857.0,3777.0,-157.0,1300.0,-35.0
1414.0,853.0,3765.0,-186.0,943.0,-79.0
1439.0,865.0,3784.0,-53.0,514.0,-169.0
1401.0,851.0,3945.0,63.0,324.0,-265.0
1424.0,786.0,4139.0,109.0,384.0,-336.0
1390.0,725.0,4042.0,138.0,591.0,-399.0
1352.0,712.0,3820.0,163.0,1024.0,-458.0
1278.0,681.0,3636.0,157.0,3524.0,-391.0
1244.0,700.0,3301.0,111.0,4889.0,-279.0
1153.0,729.0,2852.0,156.0,6252.0,-222.0
1519.0,782.0,2265.0,192.0,7825.0,-130.0
1676.0,1024.0,1239.0,258.0,9464.0,16.0
1343.0,1209.0,-149.0,413.0,11046.0,144.0
42.0,1166.0,-1802.0,617.0,12662.0,264.0
-1751.0,1129.0,-3109.0,845.0,14857.0,477.0
-4119.0,909.0,-3862.0,1205.0,17732.0,805.0
-6351.0,920.0,-3228.0,1788.0,20752.0,1122.0
-7340.0,1194.0,-2411.0,2395.0,23558.0,1347.0
-7956.0,1602.0,-1564.0,2874.0,26221.0,1475.0
-7219.0,1746.0,-1296.0,3286.0,28319.0,1433.0
-5724.0,1546.0,-1040.0,3313.0,29060.0,1294.0
-4495.0,1376.0,-1082.0,3346.0,27403.0,858.0
-4106.0,1242.0,-1343.0,3415.0,23819.0,423.0
-4378.0,1362.0,-1664.0,3357.0,18770.0,400.0
-4410.0,1562.0,-1765.0,1322.0,2723.0,904.0
-4244.0,1654.0,-1568.0,1032.0,1651.0,887.0
-4544.0,1454.0,-947.0,797.0,961.0,732.0
-4536.0,1506.0,-888.0,514.0,412.0,477.0
-4318.0,1475.0,-883.0,283.0,52.0,135.0
-4147.0,1438.0,-899.0,25.0,122.0,-25.0
-4025.0,1410.0,-943.0,-139.0,309.0,-51.0
-4131.0,1431.0,-940.0,-180.0,199.0,-72.0
-4356.0,1457.0,-871.0,-225.0,-207.0,-46.0
-4457.0,1420.0,-904.0,-340.0,-665.0,43.0
-4703.0,1447.0,-811.0,-431.0,-1014.0,51.0
-4770.0,1419.0,-827.0,-457.0,-1169.0,37.0
-5189.0,1374.0,-1089.0,-453.0,-1251.0,19.0
-5619.0,1430.0,-1131.0,-447.0,-1433.0,-32.0
-5985.0,1420.0,-1116.0,-481.0,-1717.0,-13.0
-6185.0,1398.0,-1189.0,-517.0,-2127.0,9.0
-6237.0,1298.0,-1093.0,-585.0,-2610.0,-32.0
-5812.0,1180.0,-1227.0,-1029.0,-5912.0,-311.0
-5149.0,1066.0,-1274.0,-1414.0,-8071.0,-427.0
-4438.0,933.0,-1058.0,-1815.0,-10740.0,-413.0
-2675.0,895.0,-156.0,-2125.0,-13267.0,-272.0
-2106.0,1089.0,17.0,-2294.0,-15518.0,-81.0
-1376.0,1267.0,231.0,-2390.0,-17327.0,-35.0
-397.0,1415.0,342.0,-2368.0,-18550.0,-191.0
693.0,1402.0,692.0,-2117.0,-19714.0,-456.0
1912.0,1284.0,1478.0,-1618.0,-20916.0,-553.0
3215.0,1277.0,2118.0,-1166.0,-22040.0,-364.0
4752.0,1244.0,2570.0,-851.0,-23096.0,18.0
5879.0,1098.0,3104.0,-680.0,-23824.0,553.0
5663.0,530.0,2918.0,-718.0,-23696.0,1044.0
3902.0,245.0,2527.0,-1030.0,-22482.0,1218.0
